Question,Db_Id,hardness,Gold,Repeated,Without Description,With Description,EM Without,EX Without,EM With,EX With,Without - Most Frequent Query,With - Most Frequent Query,Consistency-EM-Without,Consistency-EX-Without,Consistency-EM-With,Consistency-EX-With
What are the names of all stadiums that did not have a concert in 2014?,concert_singer,hard,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,7,"SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014)
SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014)
SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014)
SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014)
SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014)
SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014)
SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014)","SELECT name FROM stadium WHERE stadium_id NOT IN (     SELECT stadium_id     FROM concert     WHERE year = 2014 )
SELECT name FROM stadium WHERE stadium_id NOT IN (     SELECT stadium_id     FROM concert     WHERE year = 2014 )
SELECT name FROM stadium WHERE stadium_id NOT IN (     SELECT stadium_id     FROM concert     WHERE year = 2014 )
SELECT name FROM stadium WHERE stadium_id NOT IN (     SELECT stadium_id     FROM concert     WHERE year = 2014 )
SELECT name FROM stadium WHERE stadium_id NOT IN (     SELECT stadium_id     FROM concert     WHERE year = 2014 )
SELECT name FROM stadium WHERE stadium_id NOT IN (     SELECT stadium_id     FROM concert     WHERE year = 2014 )
SELECT name FROM stadium WHERE stadium_id NOT IN (     SELECT stadium_id     FROM concert     WHERE year = 2014 )",0,1,0,1,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014),SELECT name FROM stadium WHERE stadium_id NOT IN (     SELECT stadium_id     FROM concert     WHERE year = 2014 ),0,1,0,1
What is the maximum capacity and the average of all stadiums ?,concert_singer,medium,"select max(capacity), average from stadium",7,"SELECT MAX(capacity), AVG(capacity) FROM stadium
SELECT MAX(capacity), AVG(capacity) FROM stadium
SELECT MAX(capacity), AVG(capacity) FROM stadium
SELECT MAX(capacity), AVG(capacity) FROM stadium
SELECT MAX(capacity), AVG(capacity) FROM stadium
SELECT MAX(capacity), AVG(capacity) FROM stadium
SELECT MAX(capacity), AVG(capacity) FROM stadium","SELECT MAX(capacity), AVG(capacity) FROM stadium
SELECT MAX(capacity), AVG(capacity) FROM stadium
SELECT MAX(capacity), AVG(capacity) FROM stadium
SELECT MAX(capacity), AVG(capacity) FROM stadium
SELECT MAX(capacity), AVG(capacity) FROM stadium
SELECT MAX(capacity), AVG(capacity) FROM stadium
SELECT MAX(capacity), AVG(capacity) FROM stadium",0,0,0,0,"SELECT MAX(capacity), AVG(capacity) FROM stadium","SELECT MAX(capacity), AVG(capacity) FROM stadium",0,0,0,0
Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,concert_singer,extra,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015",7,"SELECT s.name, s.location FROM stadium s WHERE s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2014 ) AND s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2015 )
SELECT s.name, s.location FROM stadium s WHERE s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2014 ) AND s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2015 )
SELECT s.name, s.location FROM stadium s WHERE s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2014 ) AND s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2015 )
SELECT s.name, s.location FROM stadium s WHERE s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2014 ) AND s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2015 )
SELECT s.name, s.location FROM stadium s WHERE s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2014 ) AND s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2015 )
SELECT s.name, s.location FROM stadium s WHERE s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2014 ) AND s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2015 )
SELECT s.name, s.location FROM stadium s WHERE s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2014 ) AND s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2015 )","SELECT s.name, s.location FROM stadium s WHERE s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2014 ) AND s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2015 )
SELECT s.name, s.location FROM stadium s WHERE s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2014 ) AND s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2015 )
SELECT s.name, s.location FROM stadium s WHERE s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2014 ) AND s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2015 )
SELECT s.name, s.location FROM stadium s WHERE s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2014 ) AND s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2015 )
SELECT s.name, s.location FROM stadium s WHERE s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2014 ) AND s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2015 )
SELECT s.name, s.location FROM stadium s WHERE s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2014 ) AND s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2015 )
SELECT s.name, s.location FROM stadium s WHERE s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2014 ) AND s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2015 )",0,1,0,1,"SELECT s.name, s.location FROM stadium s WHERE s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2014 ) AND s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2015 )","SELECT s.name, s.location FROM stadium s WHERE s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2014 ) AND s.stadium_id IN (     SELECT c.stadium_id     FROM concert c     WHERE c.year = 2015 )",0,1,0,1
What are all distinct countries where singers above age 20 are from?,concert_singer,easy,SELECT DISTINCT country FROM singer WHERE age  >  20,7,"SELECT DISTINCT country FROM singer WHERE age > 20
SELECT DISTINCT country FROM singer WHERE age > 20
SELECT DISTINCT country FROM singer WHERE age > 20
SELECT DISTINCT country FROM singer WHERE age > 20
SELECT DISTINCT country FROM singer WHERE age > 20
SELECT DISTINCT country FROM singer WHERE age > 20
SELECT DISTINCT country FROM singer WHERE age > 20","SELECT DISTINCT country FROM singer WHERE age > 20
SELECT DISTINCT country FROM singer WHERE age > 20
SELECT DISTINCT country FROM singer WHERE age > 20
SELECT DISTINCT country FROM singer WHERE age > 20
SELECT DISTINCT country FROM singer WHERE age > 20
SELECT DISTINCT country FROM singer WHERE age > 20
SELECT DISTINCT country FROM singer WHERE age > 20",1,1,1,1,SELECT DISTINCT country FROM singer WHERE age > 20,SELECT DISTINCT country FROM singer WHERE age > 20,1,1,1,1
Show the stadium name and the number of concerts in each stadium.,concert_singer,medium,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",7,"SELECT stadium.name, COUNT(concert.concert_id) AS num_concerts FROM stadium LEFT JOIN concert ON stadium.stadium_id = concert.stadium_id GROUP BY stadium.name
SELECT stadium.name, COUNT(concert.concert_id) AS num_concerts FROM stadium LEFT JOIN concert ON stadium.stadium_id = concert.stadium_id GROUP BY stadium.name
SELECT stadium.name, COUNT(concert.concert_id) AS num_concerts FROM stadium LEFT JOIN concert ON stadium.stadium_id = concert.stadium_id GROUP BY stadium.name
SELECT stadium.name, COUNT(concert.concert_id) AS num_concerts FROM stadium LEFT JOIN concert ON stadium.stadium_id = concert.stadium_id GROUP BY stadium.name
SELECT stadium.name, COUNT(concert.concert_id) AS num_concerts FROM stadium LEFT JOIN concert ON stadium.stadium_id = concert.stadium_id GROUP BY stadium.name
SELECT stadium.name, COUNT(concert.concert_id) AS num_concerts FROM stadium LEFT JOIN concert ON stadium.stadium_id = concert.stadium_id GROUP BY stadium.name
SELECT stadium.name, COUNT(concert.concert_id) AS num_concerts FROM stadium LEFT JOIN concert ON stadium.stadium_id = concert.stadium_id GROUP BY stadium.name","SELECT stadium.name, COUNT(concert.concert_id) AS num_concerts FROM stadium LEFT JOIN concert ON stadium.stadium_id = concert.stadium_id GROUP BY stadium.name
SELECT stadium.name, COUNT(concert.concert_id) AS num_concerts FROM stadium LEFT JOIN concert ON stadium.stadium_id = concert.stadium_id GROUP BY stadium.name
SELECT stadium.name, COUNT(concert.concert_id) AS num_concerts FROM stadium LEFT JOIN concert ON stadium.stadium_id = concert.stadium_id GROUP BY stadium.name
SELECT stadium.name, COUNT(concert.concert_id) AS num_concerts FROM stadium LEFT JOIN concert ON stadium.stadium_id = concert.stadium_id GROUP BY stadium.name
SELECT stadium.name, COUNT(concert.concert_id) AS num_concerts FROM stadium LEFT JOIN concert ON stadium.stadium_id = concert.stadium_id GROUP BY stadium.name
SELECT stadium.name, COUNT(concert.concert_id) AS num_concerts FROM stadium LEFT JOIN concert ON stadium.stadium_id = concert.stadium_id GROUP BY stadium.name
SELECT stadium.name, COUNT(concert.concert_id) AS num_concerts FROM stadium LEFT JOIN concert ON stadium.stadium_id = concert.stadium_id GROUP BY stadium.name",0,0,0,0,"SELECT stadium.name, COUNT(concert.concert_id) AS num_concerts FROM stadium LEFT JOIN concert ON stadium.stadium_id = concert.stadium_id GROUP BY stadium.name","SELECT stadium.name, COUNT(concert.concert_id) AS num_concerts FROM stadium LEFT JOIN concert ON stadium.stadium_id = concert.stadium_id GROUP BY stadium.name",0,0,0,0
Show all countries and the number of singers in each country.,concert_singer,medium,"SELECT country ,  count(*) FROM singer GROUP BY country",7,"SELECT country, COUNT(*) AS num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) AS num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) AS num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) AS num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) AS num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) AS num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) AS num_singers FROM singer GROUP BY country","SELECT country, COUNT(*) AS num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) AS num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) AS num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) AS num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) AS num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) AS num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) AS num_singers FROM singer GROUP BY country",0,1,0,1,"SELECT country, COUNT(*) AS num_singers FROM singer GROUP BY country","SELECT country, COUNT(*) AS num_singers FROM singer GROUP BY country",0,1,0,1
What is the total number of singers?,concert_singer,easy,SELECT count(*) FROM singer,7,"SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer","SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer",1,1,1,1,SELECT COUNT(*) FROM singer,SELECT COUNT(*) FROM singer,1,1,1,1
What is the name and capacity for the stadium with highest average attendance?,concert_singer,medium,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",7,"SELECT name, capacity FROM stadium WHERE average = (SELECT MAX(average) FROM stadium)
SELECT name, capacity FROM stadium WHERE average = (SELECT MAX(average) FROM stadium)
SELECT name, capacity FROM stadium WHERE average = (SELECT MAX(average) FROM stadium)
SELECT name, capacity FROM stadium WHERE average = (SELECT MAX(average) FROM stadium)
SELECT name, capacity FROM stadium WHERE average = (SELECT MAX(average) FROM stadium)
SELECT name, capacity FROM stadium WHERE average = (SELECT MAX(average) FROM stadium)
SELECT name, capacity FROM stadium WHERE average = (SELECT MAX(average) FROM stadium)","SELECT name, capacity FROM stadium WHERE average = (SELECT MAX(average) FROM stadium)
SELECT name, capacity FROM stadium WHERE average = (SELECT MAX(average) FROM stadium)
SELECT name, capacity FROM stadium WHERE average = (SELECT MAX(average) FROM stadium)
SELECT name, capacity FROM stadium WHERE average = (SELECT MAX(average) FROM stadium)
SELECT name, capacity FROM stadium WHERE average = (SELECT MAX(average) FROM stadium)
SELECT name, capacity FROM stadium WHERE average = (SELECT MAX(average) FROM stadium)
SELECT name, capacity FROM stadium WHERE average = (SELECT MAX(average) FROM stadium)",0,1,0,1,"SELECT name, capacity FROM stadium WHERE average = (SELECT MAX(average) FROM stadium)","SELECT name, capacity FROM stadium WHERE average = (SELECT MAX(average) FROM stadium)",0,1,0,1
What is the name and capacity for the stadium with the highest average attendance?,concert_singer,medium,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",7,"SELECT name, capacity FROM stadium WHERE stadium_id = (     SELECT stadium_id     FROM (         SELECT stadium_id, AVG(average) AS avg_attendance         FROM concert         GROUP BY stadium_id         ORDER BY avg_attendance DESC         LIMIT 1     ) )
SELECT name, capacity FROM stadium WHERE stadium_id = (     SELECT stadium_id     FROM (         SELECT stadium_id, AVG(average) AS avg_attendance         FROM concert         GROUP BY stadium_id         ORDER BY avg_attendance DESC         LIMIT 1     ) )
SELECT name, capacity FROM stadium WHERE stadium_id = (     SELECT stadium_id     FROM (         SELECT stadium_id, AVG(average) AS avg_attendance         FROM concert         GROUP BY stadium_id         ORDER BY avg_attendance DESC         LIMIT 1     ) )
SELECT name, capacity FROM stadium WHERE stadium_id = (     SELECT stadium_id     FROM (         SELECT stadium_id, AVG(average) AS avg_attendance         FROM concert         GROUP BY stadium_id         ORDER BY avg_attendance DESC         LIMIT 1     ) )
SELECT name, capacity FROM stadium WHERE stadium_id = (     SELECT stadium_id     FROM (         SELECT stadium_id, AVG(average) AS avg_attendance         FROM concert         GROUP BY stadium_id         ORDER BY avg_attendance DESC         LIMIT 1     ) )
SELECT name, capacity FROM stadium WHERE stadium_id = (     SELECT stadium_id     FROM (         SELECT stadium_id, AVG(average) AS avg_attendance         FROM concert         GROUP BY stadium_id         ORDER BY avg_attendance DESC         LIMIT 1     ) )
SELECT name, capacity FROM stadium WHERE stadium_id = (     SELECT stadium_id     FROM (         SELECT stadium_id, AVG(average) AS avg_attendance         FROM concert         GROUP BY stadium_id         ORDER BY avg_attendance DESC         LIMIT 1     ) )","SELECT Name, Capacity FROM stadium WHERE Average = (SELECT MAX(Average) FROM stadium)
SELECT Name, Capacity FROM stadium WHERE Average = (SELECT MAX(Average) FROM stadium)
SELECT Name, Capacity FROM stadium WHERE Average = (SELECT MAX(Average) FROM stadium)
SELECT Name, Capacity FROM stadium WHERE Average = (SELECT MAX(Average) FROM stadium)
SELECT Name, Capacity FROM stadium WHERE Average = (SELECT MAX(Average) FROM stadium)
SELECT Name, Capacity FROM stadium WHERE Average = (SELECT MAX(Average) FROM stadium)
SELECT Name, Capacity FROM stadium WHERE Average = (SELECT MAX(Average) FROM stadium)",0,0,0,1,"SELECT name, capacity FROM stadium WHERE stadium_id = (     SELECT stadium_id     FROM (         SELECT stadium_id, AVG(average) AS avg_attendance         FROM concert         GROUP BY stadium_id         ORDER BY avg_attendance DESC         LIMIT 1     ) )","SELECT Name, Capacity FROM stadium WHERE Average = (SELECT MAX(Average) FROM stadium)",0,0,0,1
"Show name, country, age for all singers ordered by age from the oldest to the youngest.",concert_singer,medium,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC",7,"SELECT name, country, age FROM singer ORDER BY age DESC
SELECT name, country, age FROM singer ORDER BY age DESC
SELECT name, country, age FROM singer ORDER BY age DESC
SELECT name, country, age FROM singer ORDER BY age DESC
SELECT name, country, age FROM singer ORDER BY age DESC
SELECT name, country, age FROM singer ORDER BY age DESC
SELECT name, country, age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC
SELECT name, country, age FROM singer ORDER BY age DESC
SELECT name, country, age FROM singer ORDER BY age DESC
SELECT name, country, age FROM singer ORDER BY age DESC
SELECT name, country, age FROM singer ORDER BY age DESC
SELECT name, country, age FROM singer ORDER BY age DESC
SELECT name, country, age FROM singer ORDER BY age DESC",1,1,1,1,"SELECT name, country, age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC",1,1,1,1
What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?,concert_singer,extra,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015",7,"SELECT s.name, s.location FROM stadium s JOIN concert c ON s.stadium_id = c.stadium_id WHERE c.year IN (2014, 2015) GROUP BY s.stadium_id HAVING COUNT(DISTINCT c.year) = 2
SELECT s.name, s.location FROM stadium s JOIN concert c ON s.stadium_id = c.stadium_id WHERE c.year IN (2014, 2015) GROUP BY s.stadium_id HAVING COUNT(DISTINCT c.year) = 2
SELECT s.name, s.location FROM stadium s JOIN concert c ON s.stadium_id = c.stadium_id WHERE c.year IN (2014, 2015) GROUP BY s.stadium_id HAVING COUNT(DISTINCT c.year) = 2
SELECT s.name, s.location FROM stadium s JOIN concert c ON s.stadium_id = c.stadium_id WHERE c.year IN (2014, 2015) GROUP BY s.stadium_id HAVING COUNT(DISTINCT c.year) = 2
SELECT s.name, s.location FROM stadium s JOIN concert c ON s.stadium_id = c.stadium_id WHERE c.year IN (2014, 2015) GROUP BY s.stadium_id HAVING COUNT(DISTINCT c.year) = 2
SELECT s.name, s.location FROM stadium s JOIN concert c ON s.stadium_id = c.stadium_id WHERE c.year IN (2014, 2015) GROUP BY s.stadium_id HAVING COUNT(DISTINCT c.year) = 2
SELECT s.name, s.location FROM stadium s JOIN concert c ON s.stadium_id = c.stadium_id WHERE c.year IN (2014, 2015) GROUP BY s.stadium_id HAVING COUNT(DISTINCT c.year) = 2","SELECT s.name, s.location FROM stadium s WHERE s.stadium_id IN (     SELECT c1.stadium_id     FROM concert c1     WHERE c1.year = 2014 ) AND s.stadium_id IN (     SELECT c2.stadium_id     FROM concert c2     WHERE c2.year = 2015 )
SELECT s.name, s.location FROM stadium s WHERE s.stadium_id IN (     SELECT c1.stadium_id     FROM concert c1     WHERE c1.year = 2014 ) AND s.stadium_id IN (     SELECT c2.stadium_id     FROM concert c2     WHERE c2.year = 2015 )
SELECT s.name, s.location FROM stadium s WHERE s.stadium_id IN (     SELECT c1.stadium_id     FROM concert c1     WHERE c1.year = 2014 ) AND s.stadium_id IN (     SELECT c2.stadium_id     FROM concert c2     WHERE c2.year = 2015 )
SELECT s.name, s.location FROM stadium s WHERE s.stadium_id IN (     SELECT c1.stadium_id     FROM concert c1     WHERE c1.year = 2014 ) AND s.stadium_id IN (     SELECT c2.stadium_id     FROM concert c2     WHERE c2.year = 2015 )
SELECT s.name, s.location FROM stadium s WHERE s.stadium_id IN (     SELECT c1.stadium_id     FROM concert c1     WHERE c1.year = 2014 ) AND s.stadium_id IN (     SELECT c2.stadium_id     FROM concert c2     WHERE c2.year = 2015 )
SELECT s.name, s.location FROM stadium s WHERE s.stadium_id IN (     SELECT c1.stadium_id     FROM concert c1     WHERE c1.year = 2014 ) AND s.stadium_id IN (     SELECT c2.stadium_id     FROM concert c2     WHERE c2.year = 2015 )
SELECT s.name, s.location FROM stadium s WHERE s.stadium_id IN (     SELECT c1.stadium_id     FROM concert c1     WHERE c1.year = 2014 ) AND s.stadium_id IN (     SELECT c2.stadium_id     FROM concert c2     WHERE c2.year = 2015 )",0,1,0,1,"SELECT s.name, s.location FROM stadium s JOIN concert c ON s.stadium_id = c.stadium_id WHERE c.year IN (2014, 2015) GROUP BY s.stadium_id HAVING COUNT(DISTINCT c.year) = 2","SELECT s.name, s.location FROM stadium s WHERE s.stadium_id IN (     SELECT c1.stadium_id     FROM concert c1     WHERE c1.year = 2014 ) AND s.stadium_id IN (     SELECT c2.stadium_id     FROM concert c2     WHERE c2.year = 2015 )",0,1,0,1
Show the stadium name and capacity with most number of concerts in year 2014 or after.,concert_singer,extra,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1",7,"SELECT stadium.name, stadium.capacity FROM stadium JOIN concert ON stadium.stadium_id = concert.stadium_id WHERE concert.year >= 2014 GROUP BY stadium.stadium_id ORDER BY COUNT(*) DESC LIMIT 1
SELECT stadium.name, stadium.capacity FROM stadium JOIN concert ON stadium.stadium_id = concert.stadium_id WHERE concert.year >= 2014 GROUP BY stadium.stadium_id ORDER BY COUNT(*) DESC LIMIT 1
SELECT stadium.name, stadium.capacity FROM stadium JOIN concert ON stadium.stadium_id = concert.stadium_id WHERE concert.year >= 2014 GROUP BY stadium.stadium_id ORDER BY COUNT(*) DESC LIMIT 1
SELECT stadium.name, stadium.capacity FROM stadium JOIN concert ON stadium.stadium_id = concert.stadium_id WHERE concert.year >= 2014 GROUP BY stadium.stadium_id ORDER BY COUNT(*) DESC LIMIT 1
SELECT stadium.name, stadium.capacity FROM stadium JOIN concert ON stadium.stadium_id = concert.stadium_id WHERE concert.year >= 2014 GROUP BY stadium.stadium_id ORDER BY COUNT(*) DESC LIMIT 1
SELECT stadium.name, stadium.capacity FROM stadium JOIN concert ON stadium.stadium_id = concert.stadium_id WHERE concert.year >= 2014 GROUP BY stadium.stadium_id ORDER BY COUNT(*) DESC LIMIT 1
SELECT stadium.name, stadium.capacity FROM stadium JOIN concert ON stadium.stadium_id = concert.stadium_id WHERE concert.year >= 2014 GROUP BY stadium.stadium_id ORDER BY COUNT(*) DESC LIMIT 1","SELECT stadium.name, stadium.capacity FROM stadium JOIN concert ON stadium.stadium_id = concert.stadium_id WHERE concert.year >= 2014 GROUP BY stadium.stadium_id ORDER BY COUNT(*) DESC LIMIT 1
SELECT stadium.name, stadium.capacity FROM stadium JOIN concert ON stadium.stadium_id = concert.stadium_id WHERE concert.year >= 2014 GROUP BY stadium.stadium_id ORDER BY COUNT(*) DESC LIMIT 1
SELECT stadium.name, stadium.capacity FROM stadium JOIN concert ON stadium.stadium_id = concert.stadium_id WHERE concert.year >= 2014 GROUP BY stadium.stadium_id ORDER BY COUNT(*) DESC LIMIT 1
SELECT stadium.name, stadium.capacity FROM stadium JOIN concert ON stadium.stadium_id = concert.stadium_id WHERE concert.year >= 2014 GROUP BY stadium.stadium_id ORDER BY COUNT(*) DESC LIMIT 1
SELECT stadium.name, stadium.capacity FROM stadium JOIN concert ON stadium.stadium_id = concert.stadium_id WHERE concert.year >= 2014 GROUP BY stadium.stadium_id ORDER BY COUNT(*) DESC LIMIT 1
SELECT stadium.name, stadium.capacity FROM stadium JOIN concert ON stadium.stadium_id = concert.stadium_id WHERE concert.year >= 2014 GROUP BY stadium.stadium_id ORDER BY COUNT(*) DESC LIMIT 1
SELECT stadium.name, stadium.capacity FROM stadium JOIN concert ON stadium.stadium_id = concert.stadium_id WHERE concert.year >= 2014 GROUP BY stadium.stadium_id ORDER BY COUNT(*) DESC LIMIT 1",1,1,1,1,"SELECT stadium.name, stadium.capacity FROM stadium JOIN concert ON stadium.stadium_id = concert.stadium_id WHERE concert.year >= 2014 GROUP BY stadium.stadium_id ORDER BY COUNT(*) DESC LIMIT 1","SELECT stadium.name, stadium.capacity FROM stadium JOIN concert ON stadium.stadium_id = concert.stadium_id WHERE concert.year >= 2014 GROUP BY stadium.stadium_id ORDER BY COUNT(*) DESC LIMIT 1",1,1,1,1
What is the average and maximum capacities for all stadiums ?,concert_singer,medium,"select avg(capacity) ,  max(capacity) from stadium",7,"SELECT AVG(capacity) AS average_capacity, MAX(capacity) AS max_capacity FROM stadium
SELECT AVG(capacity) AS average_capacity, MAX(capacity) AS max_capacity FROM stadium
SELECT AVG(capacity) AS average_capacity, MAX(capacity) AS max_capacity FROM stadium
SELECT AVG(capacity) AS average_capacity, MAX(capacity) AS max_capacity FROM stadium
SELECT AVG(capacity) AS average_capacity, MAX(capacity) AS max_capacity FROM stadium
SELECT AVG(capacity) AS average_capacity, MAX(capacity) AS max_capacity FROM stadium
SELECT AVG(capacity) AS average_capacity, MAX(capacity) AS max_capacity FROM stadium","SELECT AVG(capacity) AS average_capacity, MAX(capacity) AS max_capacity FROM stadium
SELECT AVG(capacity) AS average_capacity, MAX(capacity) AS max_capacity FROM stadium
SELECT AVG(capacity) AS average_capacity, MAX(capacity) AS max_capacity FROM stadium
SELECT AVG(capacity) AS average_capacity, MAX(capacity) AS max_capacity FROM stadium
SELECT AVG(capacity) AS average_capacity, MAX(capacity) AS max_capacity FROM stadium
SELECT AVG(capacity) AS average_capacity, MAX(capacity) AS max_capacity FROM stadium
SELECT AVG(capacity) AS average_capacity, MAX(capacity) AS max_capacity FROM stadium",0,1,0,1,"SELECT AVG(capacity) AS average_capacity, MAX(capacity) AS max_capacity FROM stadium","SELECT AVG(capacity) AS average_capacity, MAX(capacity) AS max_capacity FROM stadium",0,1,0,1
